# De/para entre conta contábil e linha do Demonstrativo do Resultado.
#
# GERADO por ferramentas/gerar-dre-indice.py a partir da aba "indice" de
# deparacontabil1.xlsx. Não edite à mão: rode o script de novo.
#
# Formato: conta;chave;descrição da conta;rótulo original.
#
# A chave é a mesma de webapp/dre-historico.js, para a linha do balancete e
# a linha da tela serem a mesma coisa nos dois lugares.
#
# Só contas ANALÍTICAS. As sintéticas são somatórios das filhas.
3.2.3.03.020;desp_admin;DESPESAS C/LOC.DE EMPREGADOS;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.021;desp_admin;SERVIÇOS DE TERCEIROS-P.FÍSICA;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.022;desp_admin;SERVIÇOS DE TERCEIROS-P.JURÍDICA;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.026;desp_admin;MATERIAIS DE INFORMÁTICA;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.027;desp_admin;SEGUROS CONT.ACIDENTE TRABALHO;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.028;desp_admin;INDENIZAÇÕES TRABALHISTAS;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.030;desp_admin;ENERGIA ELÉTRICA ADQUIRIDA;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.032;desp_admin;ALUGUÉIS E ARRENDAMENTOS;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.033;desp_admin;PESQUISA E DESENVOLVIMENTO;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.034;desp_admin;IMPOSTOS, TAXAS E CONTRIBUIÇÕES;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.035;desp_admin;IOF;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.037;desp_admin;DESPESAS BANCÁRIAS;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.038;desp_admin;CUSTAS E EMOLUMENTOS;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.039;desp_admin;MULTAS DEDUTIVEIS;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.040;desp_admin;SEGUROS GERAIS;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.041;desp_admin;PUBLICAÇÕES LEGAIS;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.044;desp_admin;MATERIAL DE EXPEDIENTE;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.045;desp_admin;COMBUSTÍVEIS E LUBRIFICANTES;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.047;desp_admin;TELEFÔNICAS/INTERNET;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.048;desp_admin;CORREIOS;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.049;desp_admin;SACARIAS;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.056;desp_admin;PEÇAS E ACESSÓRIOS;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.057;desp_admin;MATERIAL DE CONSTRUÇÃO;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.060;desp_admin;DEPRECIAÇÃO DE BENS;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.062;desp_admin;INDENIZAÇÕES DIVERSAS - P. FÍSICAS;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.063;desp_admin;INDENIZAÇÕES DIVERSAS - P. JURÍDICA;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.066;desp_admin;MATERIAIS DIVERSOS;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.068;desp_admin;DESPESAS INDEDUTÍVEIS;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.074;desp_admin;RECUPERAÇÕES ( - );DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.076;desp_admin;HORAS EXTRAS;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.077;desp_admin;ADICIONAL PERICULOSIDADE;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.078;desp_admin;ADICIONAL INSALUBRIDADE;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.079;desp_admin;LICENÇA REMUNERADA;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.080;desp_admin;AVISO PRÉVIO;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.081;desp_admin;ADICIONAL NOTURNO;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.082;desp_admin;GRATIFICAÇÃO;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.083;desp_admin;DOAÇÃO;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.084;desp_admin;MULTAS INDEDUTIVEIS;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.085;desp_admin;AJUSTE DE ESTOQUE;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.090;desp_admin;TRANSFERÊNCIA DE CUSTO;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.092;desp_admin;CONTRIBUIÇÕES A TERCEIROS S/ FOLHA DE PAGAMENTO;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.096;desp_admin;MULTA;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.099;desp_admin;ENCARGO LEGAIS SOBRE DÉBITOS TRIBUTÁRIOS;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.100;desp_admin;HONORARIOS ADVOCATICIOS SOBRE PROCESSOS TRIBUTÁRIO;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.102;desp_admin;ASSISTENCIA MÉDICA;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.108;desp_admin;CERTIFICADOS DIGITAIS;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.109;desp_admin;BRINDES;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.112;desp_admin;DESCONTOS TRANSAÇÃO PARCELAMENTOS;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.996;desp_admin;PROVISÃO PARA PERDAS DE CRÉDITOS JURIDICOS;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.997;desp_admin;PROVISÃO PARA PERDAS DE CRÉDITOS;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.04.001;financeiro;JUROS DE FIN.PASSIVO;RESULTADO FINANCEIRO LÍQUIDO
3.2.3.04.003;financeiro;JUROS PASSIVOS;RESULTADO FINANCEIRO LÍQUIDO
3.2.3.04.004;financeiro;VARIAÇÃO CAMBIAL PASSIVA;RESULTADO FINANCEIRO LÍQUIDO
3.2.3.04.006;financeiro;JUROS ATIVO;RESULTADO FINANCEIRO LÍQUIDO
3.2.3.04.008;financeiro;DESCONTOS OBTIDOS;RESULTADO FINANCEIRO LÍQUIDO
3.2.3.04.009;financeiro;VARIAÇÃO CAMBIAL ATIVA;RESULTADO FINANCEIRO LÍQUIDO
3.2.3.04.010;financeiro;RENDIMENTOS DE APLICAÇÕES FINANCEIRAS;RESULTADO FINANCEIRO LÍQUIDO
3.2.3.04.013;financeiro;DESCONTOS OBTIDOS - PROC. RECUPERAÇÃO JUDICIAL;RESULTADO FINANCEIRO LÍQUIDO
3.2.3.04.015;financeiro;VARIAÇÃO CAMBIAL ATIVA S/NDF;RESULTADO FINANCEIRO LÍQUIDO
3.2.3.04.016;financeiro;VARIAÇÃO CAMBIAL PASSIVA S/NDF;RESULTADO FINANCEIRO LÍQUIDO
3.2.3.04.017;financeiro;VARIAÇÃO PASSIVA;RESULTADO FINANCEIRO LÍQUIDO
3.2.3.04.018;financeiro;VARIAÇÃO ATIVA;RESULTADO FINANCEIRO LÍQUIDO
3.2.3.04.019;financeiro;JUROS PASSIVOS - PARCELAMENTOS;RESULTADO FINANCEIRO LÍQUIDO
3.2.3.04.020;financeiro;DESCONTOS S/JUROS PASSIVOS - PARCELAMENTOS;RESULTADO FINANCEIRO LÍQUIDO
3.2.3.04.021;financeiro;JUROS S-CÉDULAS DE PRODUTO RURAL;RESULTADO FINANCEIRO LÍQUIDO
3.2.3.04.022;financeiro;VARIAÇÃO CAMBIAL ATIVA S-CÉDULAS DE PRODUTO RURAL;RESULTADO FINANCEIRO LÍQUIDO
3.2.3.04.023;financeiro;VARIAÇÃO CAMBIAL PASSIVA S-CÉDULA DE PRODUTO RURAL;RESULTADO FINANCEIRO LÍQUIDO
3.2.3.05.007;outras_op;ICMS;OUTRAS (RECEITAS)/ DESPESAS OPERACIONAIS
3.2.3.05.008;outras_op;PIS;OUTRAS (RECEITAS)/ DESPESAS OPERACIONAIS
3.2.3.05.009;outras_op;COFINS;OUTRAS (RECEITAS)/ DESPESAS OPERACIONAIS
3.2.3.05.012;outras_op;OUTRAS RECEITAS;OUTRAS (RECEITAS)/ DESPESAS OPERACIONAIS
3.2.3.05.017;outras_op;INDENIZAÇÕES POR DANOS;OUTRAS (RECEITAS)/ DESPESAS OPERACIONAIS
3.2.3.05.014;outras_op;OUTRAS DESPESAS;OUTRAS (RECEITAS)/ DESPESAS OPERACIONAIS
3.2.3.05.015;outras_op;IPI;OUTRAS (RECEITAS)/ DESPESAS OPERACIONAIS
3.2.3.05.019;outras_op;ISS;OUTRAS (RECEITAS)/ DESPESAS OPERACIONAIS
3.2.3.05.023;outras_op;RECEITA DE CRÉDITOS INDENIZATÓRIOS;OUTRAS (RECEITAS)/ DESPESAS OPERACIONAIS
3.2.3.05.024;outras_op;GANHOS / PERDA - AJUSTE DE ATIVO BIOLÓGICO;OUTRAS (RECEITAS)/ DESPESAS OPERACIONAIS
3.2.3.05.030;tributos;INCENTIVO FISCAL (CREDIDO PRESUMIDO ICMS);(-)TRIBUTOS SOBRE VENDAS
